Name,Age,Hometown,Season,Finish,Tribal Challenge Wins,Individual Challenge Wins,Total Wins,Days Lasted,Votes Against,Profile Link,Photo Link
Francesca Hogi,38,"Brooklyn, NY",Caramoan,20th,1,N/A,1,3,6,Francesca Hogi,
Allie Pohevitz,25,"Oceanside, NY",Caramoan,19th,1,N/A,1,5,6,Allie Pohevitz,
Hope Driskill,23,"Jefferson City, MO",Caramoan,18th,1,N/A,1,7,8,Hope Driskill,
Shamar Thomas,27,"Brooklyn, NY",Caramoan,17th,1,N/A,1,10,8,Shamar Thomas,
Laura Alexander,23,"Washington, D.C.",Caramoan,16th,1,N/A,1,10,6,Laura Alexander,
Brandon Hantz,21,"Katy, TX",Caramoan,15th,6,N/A,6,13,8,Brandon Hantz,
Matt Bischoff,38,"Cincinnati, OH",Caramoan,14th,1,N/A,1,16,4,Matt Bischoff,
Julia Landauer,21,"Stanford, CA",Caramoan,13th,1,N/A,1,19,9,Julia Landauer,
Corinne Kaplan,33,"Los Angeles, CA",Caramoan,12th,6,0,6,22,7,Corinne Kaplan,
Michael Snow,44,"New York City, NY",Caramoan,11th,1,1,2,25,10,Michael Snow,
Phillip Sheppard,54,"Santa Monica, CA",Caramoan,10th,6,1,7,28,5,Phillip Sheppard,
Malcolm Freberg,25,"Hermosa Beach, CA",Caramoan,9th,9,0,9,30,11,Malcolm Freberg,
Reynold Toepfer,30,"San Francisco, CA",Caramoan,8th,4,3,7,31,9,Reynold Toepfer,
Andrea Boehlke,23,"New York City, NY",Caramoan,7th,9,1,10,33,13,Andrea Boehlke,
Brenda Lowe,29,"Miami, FL",Caramoan,6th,9,2,11,36,5,Brenda Lowe,
Erik Reichenbach,27,"Santa Clarita, CA",Caramoan,5th,9,3,12,36,2,Erik Reichenbach,
Eddie Fox,23,"East Brunswick, NJ",Caramoan,4th,4,1,5,38,16,Eddie Fox,
Dawn Meehan,42,"South Jordan, UT",Caramoan,Co-Runner-Up,6,2,8,39,2,Dawn Meehan,
Sherri Biethman,41,"Boise, ID",Caramoan,Co-Runner-Up,4,0,4,39,6,Sherri Biethman,
John Cochran,25,"Washington, D.C.",Caramoan,Sole Survivor,6,6,12,39,0,John Cochran,
Rupert Boneham,49,"Indianapolis, IN",Blood vs. Water,20th,0,0,0,4,0,Rupert Boneham,
Colton Cumbie,22,"Collinsville, AL",Blood vs. Water,19th,2,N/A,2,7,0,Colton Cumbie,
Rachel Foulger,33,"Provo, UT",Blood vs. Water,18th,0,0,0,7,5,Rachel Foulger,
Marissa Peterson,21,"Chapel Hill, NC",Blood vs. Water,17th,0,2,2,9,10,Marissa Peterson,
Candice Cody,30,"Washington, D.C.",Blood vs. Water,16th,0,3,3,11,6,Candice Cody,
Brad Culpepper,44,"Tampa, FL",Blood vs. Water,15th,0,1,1,14,7,Brad Culpepper,
Kat Edorsson,23,"Orlando, FL",Blood vs. Water,14th,4,0,4,17,5,Kat Edorsson,
John Cody,30,"Washington, D.C.",Blood vs. Water,13th,0,4,4,19,8,John Cody,
Laura Boneham,44,"Indianapolis, IN",Blood vs. Water,12th,4,0,4,19,11,Laura Boneham,
Aras Baskauskas,31,"Santa Monica, CA",Blood vs. Water,11th,6,0,6,25,7,Aras Baskauskas,
Vytas Baskauskas,33,"Santa Monica, CA",Blood vs. Water,10th,1,2,3,27,10,Vytas Baskauskas,
Caleb Bankston,26,"Collinsville, AL",Blood vs. Water,9th,3,0,3,30,4,Caleb Bankston,
Katie Collins,25,"New York City, NY",Blood vs. Water,8th,1,1,2,33,4,Katie Collins,
Hayden Moss,27,"Springtown, TX",Blood vs. Water,7th,3,0,3,36,8,Hayden Moss,
Laura Morett,43,"Salem, OR",Blood vs. Water,6th,4,6,10,36,19,Laura Morett,
Ciera Eastin,24,"Salem, OR",Blood vs. Water,5th,3,1,4,37,14,Ciera Eastin,
Tina Wesson,52,"Robbinsville, NC",Blood vs. Water,4th,4,5,9,38,10,Tina Wesson,
Gervase Peterson,43,"Philadelphia, PA",Blood vs. Water,2nd Runner-Up,6,1,7,39,6,Gervase Peterson,
Monica Culpepper,42,"Tampa, FL",Blood vs. Water,Runner-Up,4,3,7,39,6,Monica Culpepper,
Tyson Apostol,34,"Provo, UT",Blood vs. Water,Sole Survivor,6,2,8,39,2,Tyson Apostol,
David Samson,45,"Plantation, FL",Cagayan,18th,0,N/A,0,3,4,David Samson,
Garrett Adelstein,27,"Santa Monica, CA",Cagayan,17th,0,N/A,0,6,3,Garrett Adelstein,
Brice Johnston,27,"Philadelphia, PA",Cagayan,16th,2,N/A,2,8,5,Brice Johnston,
J'Tia Taylor,31,"Chicago, IL",Cagayan,15th,1,N/A,1,11,7,J'Tia Taylor,
Cliff Robinson,46,"Newark, NJ",Cagayan,14th,6,N/A,6,14,4,Cliff Robinson,
Lindsey Ogle,29,"Kokomo, IN",Cagayan,13th,6,N/A,6,14,0,Lindsey Ogle,
Alexis Maxwell,21,"Addison, IL",Cagayan,12th,5,N/A,5,16,8,Alexis Maxwell,
Sarah Lacina,29,"Cedar Rapids, IA",Cagayan,11th,6,0,6,19,6,Sarah Lacina,
Morgan McLeod,21,"San Jose, CA",Cagayan,10th,5,1,6,22,8,Morgan McLeod,
LJ McKanas,34,"Boston, MA",Cagayan,9th,7,1,8,25,8,LJ McKanas,
Jeremiah Wood,34,"Dobson, NC",Cagayan,8th,5,3,8,28,9,Jeremiah Wood,
Jefra Bland,22,"Campbellsville, KY",Cagayan,7th,7,2,9,30,9,Jefra Bland,
Tasha Fox,37,"St. Louis, MO",Cagayan,6th,2,4,6,33,4,Tasha Fox,
Trish Hegarty,48,"Needham, MA",Cagayan,5th,8,0,8,36,5,Trish Hegarty,
Spencer Bledsoe,21,"Chicago, IL",Cagayan,4th,2,7,9,37,8,Spencer Bledsoe,
Kass McQuillen,41,"Tehachapi, CA",Cagayan,3rd,2,2,4,38,2,Kass McQuillen,
Woo Hwang,29,"Newport Beach, CA",Cagayan,Runner-Up,8,3,11,39,4,Woo Hwang,
Tony Vlachos,39,"Jersey City, NJ",Cagayan,Sole Survivor,8,2,10,39,5,Tony Vlachos,
Nadiya Anderson,28,"Edgewater, NJ",San Juan del Sur,18th,0,N/A,0,3,5,Nadiya Anderson,
Val Collins,35,"Foxboro, MA",San Juan del Sur,17th,0,N/A,0,6,9,Val Collins,
John Rocker,39,"Atlanta, GA",San Juan del Sur,16th,1,N/A,1,8,5,John Rocker,
Drew Christy,25,"Winter Park, FL",San Juan del Sur,15th,6,N/A,6,10,5,Drew Christy,
Kelley Wentworth,28,"Seattle, WA",San Juan del Sur,14th,6,N/A,6,13,4,Kelley Wentworth,
Dale Wentworth,55,"Ephrata, WA",San Juan del Sur,13th,2,N/A,2,15,8,Dale Wentworth,
Julie McGee,34,"Atlanta, GA",San Juan del Sur,12th,9,0,9,18,2,Julie McGee,
Josh Canfield,32,"New York City, NY",San Juan del Sur,11th,5,0,5,21,6,Josh Canfield,
Jeremy Collins,36,"Foxboro, MA",San Juan del Sur,10th,9,3,12,24,5,Jeremy Collins,
Wes Nale,23,"Shreveport, LA",San Juan del Sur,9th,5,1,6,26,2,Wes Nale,
Reed Kelly,31,"New York City, NY",San Juan del Sur,8th,9,4,13,29,10,Reed Kelly,
Alec Christy,22,"Winter Park, FL",San Juan del Sur,7th,5,2,7,32,4,Alec Christy,
Jon Misch,26,"Waterford, MI",San Juan del Sur,6th,6,3,9,35,8,Jon Misch,
Baylor Wilson,20,"Nashville, TN",San Juan del Sur,5th,2,2,4,37,17,Baylor Wilson,
Keith Nale,53,"Shreveport, LA",San Juan del Sur,4th,6,6,12,38,16,Keith Nale,
Missy Payne,47,"Dallas, TX",San Juan del Sur,2nd Runner-Up,6,1,7,39,3,Missy Payne,
Jaclyn Schultz,25,"Las Vegas, NV",San Juan del Sur,Runner-Up,2,2,4,39,6,Jaclyn Schultz,
Natalie Anderson,28,"Edgewater, NJ",San Juan del Sur,Sole Survivor,9,4,13,39,0,Natalie Anderson,
So Kim,31,"Long Beach, CA",Worlds Apart,18th,0,N/A,0,3,4,So Kim,
Vince Sly,32,"Santa Monica, CA",Worlds Apart,17th,1,N/A,1,6,3,Vince Sly,
Nina Poersch,51,"Palmdale, CA",Worlds Apart,16th,1,N/A,1,8,4,Nina Poersch,
Lindsey Cascaddan,24,"College Park, FL",Worlds Apart,15th,3,N/A,3,11,5,Lindsey Cascaddan,
Max Dawson,37,"Topanga, CA",Worlds Apart,14th,4,N/A,4,14,5,Max Dawson,
Joaquin Souberbielle,27,"Valley Stream, NY",Worlds Apart,13th,6,N/A,6,16,4,Joaquin Souberbielle,
Kelly Remington,44,"Grand Island, NY",Worlds Apart,12th,5,0,5,19,4,Kelly Remington,
Hali Ford,25,"San Francisco, CA",Worlds Apart,11th,5,0,5,22,8,Hali Ford,
Joe Anglim,25,"Scottsdale, AZ",Worlds Apart,10th,5,3,8,24,8,Joe Anglim,
Jenn Brown,22,"Long Beach, CA",Worlds Apart,9th,5,0,5,27,18,Jenn Brown,
Shirin Oskooi,31,"San Francisco, CA",Worlds Apart,8th,6,1,7,29,7,Shirin Oskooi,
Tyler Fredrickson,33,"Los Angeles, CA",Worlds Apart,7th,6,3,9,32,5,Tyler Fredrickson,
Dan Foley,47,"Gorham, ME",Worlds Apart,6th,5,2,7,35,9,Dan Foley,
Sierra Dawn Thomas,27,"Roy, UT",Worlds Apart,5th,5,2,7,37,6,Sierra Dawn Thomas,
Rodney Lavoie Jr.,24,"Boston, MA",Worlds Apart,4th,5,0,5,38,5,Rodney Lavoie Jr.,
Carolyn Rivera,52,"Tampa, FL",Worlds Apart,Co-Runner-Up,6,5,11,39,10,Carolyn Rivera,
Will Sims II,41,"Sherman Oaks, CA",Worlds Apart,Co-Runner-Up,5,2,7,39,4,Will Sims II,
Mike Holloway,38,"North Richland Hills, TX",Worlds Apart,Sole Survivor,5,9,14,39,4,Mike Holloway,
Vytas Baskauskas,35,"Santa Monica, CA",Cambodia,20th,1,N/A,1,3,6,Vytas Baskauskas,
Shirin Oskooi,32,"San Francisco, CA",Cambodia,19th,1,N/A,1,6,5,Shirin Oskooi,
Peih-Gee Law,37,"San Francisco, CA",Cambodia,18th,1,N/A,1,9,4,Peih-Gee Law,
Jeff Varner,49,"Greensboro, NC",Cambodia,17th,2,N/A,2,11,4,Jeff Varner,
Monica Padilla,30,"Queens, NY",Cambodia,16th,4,N/A,4,13,3,Monica Padilla,
Terry Deitz,55,"Simsbury, CT",Cambodia,15th,6,N/A,6,13,0,Terry Deitz,
Woo Hwang,31,"Newport Beach, CA",Cambodia,14th,5,N/A,5,16,5,Woo Hwang,
Kass McQuillen,43,"Tehachapi, CA",Cambodia,13th,8,0,8,19,6,Kass McQuillen,
Andrew Savage,51,"San Jose, CA",Cambodia,12th,6,0,6,21,4,Andrew Savage,
Kelly Wiglesworth,37,"Greensboro, NC",Cambodia,11th,4,1,5,24,8,Kelly Wiglesworth,
Ciera Eastin,26,"Salem, OR",Cambodia,10th,8,3,11,26,10,Ciera Eastin,
Stephen Fishbach,36,"New York City, NY",Cambodia,9th,5,2,7,29,9,Stephen Fishbach,
Joe Anglim,26,"Scottsdale, AZ",Cambodia,8th,8,7,15,32,8,Joe Anglim,
Abi-Maria Gomes,35,"Los Angeles, CA",Cambodia,7th,5,1,6,35,14,Abi-Maria Gomes,
Kimmi Kappenberg,42,"The Woodlands, TX",Cambodia,6th,5,1,6,36,5,Kimmi Kappenberg,
Keith Nale,54,"Keithville, LA",Cambodia,5th,8,3,11,37,4,Keith Nale,
Kelley Wentworth,29,"Seattle, WA",Cambodia,4th,7,4,11,38,17,Kelley Wentworth,
Spencer Bledsoe,23,"Chicago, IL",Cambodia,Co-Runner-Up,4,5,9,39,11,Spencer Bledsoe,
Tasha Fox,39,"St. Louis, MO",Cambodia,Co-Runner-Up,5,2,7,39,8,Tasha Fox,
Jeremy Collins,37,"Foxboro, MA",Cambodia,Sole Survivor,5,1,6,39,3,Jeremy Collins,
Darnell Hamilton,27,"Chicago, IL",Kaôh Rōng,18th,0,N/A,0,3,7,Darnell Hamilton,
Jennifer Lanzetti,38,"Salt Lake City, UT",Kaôh Rōng,17th,0,N/A,0,6,3,Jennifer Lanzetti,
Liz Markham,27,"New York City, NY",Kaôh Rōng,16th,2,N/A,2,8,5,Liz Markham,
Caleb Reynolds,28,"Hopkinsville, KY",Kaôh Rōng,15th,4,N/A,4,9,N/A,Caleb Reynolds,
Alecia Holden,24,"Dallas, TX",Kaôh Rōng,14th,1,N/A,1,11,8,Alecia Holden,
Anna Khait,26,"Brooklyn, NY",Kaôh Rōng,13th,5,N/A,5,13,5,Anna Khait,
Peter Baggenstos,34,"Minneapolis, MN",Kaôh Rōng,12th,5,N/A,5,16,7,Peter Baggenstos,
Neal Gottlieb,38,"Sausalito, CA",Kaôh Rōng,11th,6,0,6,19,0,Neal Gottlieb,
Nick Maiorano,30,"Redondo Beach, CA",Kaôh Rōng,10th,7,2,9,22,6,Nick Maiorano,
Debbie Wanner,49,"Reading, PA",Kaôh Rōng,9th,6,1,7,24,5,Debbie Wanner,
Scot Pollard,40,"Carmel, IN",Kaôh Rōng,8th,2,2,4,27,7,Scot Pollard,
Julia Sokolowski,19,"Boston, MA",Kaôh Rōng,7th,6,4,10,29,7,Julia Sokolowski,
Kyle Jason,31,"Detroit, MI",Kaôh Rōng,6th,3,3,6,32,5,Kyle Jason,
Joe del Campo,72,"Vero Beach, FL",Kaôh Rōng,5th,5,1,6,34,1,Joe del Campo,
Cydney Gillon,23,"Douglasville, GA",Kaôh Rōng,4th,3,2,5,37,5,Cydney Gillon,
Tai Trang,51,"San Francisco, CA",Kaôh Rōng,2nd Runner-Up,6,5,11,39,4,Tai Trang,
Aubry Bracco,29,"Cambridge, MA",Kaôh Rōng,Runner-Up,5,1,6,39,8,Aubry Bracco,
Michele Fitzgerald,24,"Freehold, NJ",Kaôh Rōng,Sole Survivor,7,6,13,39,2,Michele Fitzgerald,
Rachel Ako,37,"Los Angeles, CA",Millennials vs. Gen X,20th,0,N/A,0,4,5,Rachel Ako,
Mari Takahashi,31,"Los Angeles, CA",Millennials vs. Gen X,19th,1,N/A,1,7,7,Mari Takahashi,
Paul Wachter,52,"Sugarloaf Key, FL",Millennials vs. Gen X,18th,1,N/A,1,10,6,Paul Wachter,
Lucy Huang,42,"Diamond Bar, CA",Millennials vs. Gen X,17th,2,N/A,2,12,2,Lucy Huang,
CeCe Taylor,39,"Granada Hills, CA",Millennials vs. Gen X,16th,2,N/A,2,15,11,CeCe Taylor,
Figgy Figueroa,23,"Nashville, TN",Millennials vs. Gen X,15th,4,N/A,4,18,6,Figgy Figueroa,
Michaela Bradshaw,25,"Fort Worth, TX",Millennials vs. Gen X,14th,7,N/A,7,20,4,Michaela Bradshaw,
Michelle Schubert,28,"Yakima, WA",Millennials vs. Gen X,13th,7,0,7,23,10,Michelle Schubert,
Taylor Stocker,24,"Post Falls, ID",Millennials vs. Gen X,12th,5,1,6,25,7,Taylor Stocker,
Chris Hammons,38,"Moore, OK",Millennials vs. Gen X,11th,6,1,7,28,7,Chris Hammons,
Jessica Lewis,37,"Voorheesville, NY",Millennials vs. Gen X,10th,4,0,4,30,9,Jessica Lewis,
Zeke Smith,28,"Brooklyn, NY",Millennials vs. Gen X,9th,7,2,9,33,14,Zeke Smith,
Will Wahl,18,"Long Valley, NJ",Millennials vs. Gen X,8th,7,1,8,34,6,Will Wahl,
Sunday Burquest,45,"Otsego, MN",Millennials vs. Gen X,7th,6,3,9,35,5,Sunday Burquest,
Jay Starrett,27,"Fort Lauderdale, FL",Millennials vs. Gen X,6th,7,3,10,36,10,Jay Starrett,
Bret LaBelle,42,"Dedham, MA",Millennials vs. Gen X,5th,6,3,9,37,5,Bret LaBelle,
David Wright,42,"Sherman Oaks, CA",Millennials vs. Gen X,4th,6,3,9,38,10,David Wright,
Hannah Shapiro,24,"West Hollywood, CA",Millennials vs. Gen X,Co-Runner-Up,7,1,8,39,13,Hannah Shapiro,
Ken McNickle,33,"Denver, CO",Millennials vs. Gen X,Co-Runner-Up,4,5,9,39,3,Ken McNickle,
Adam Klein,25,"San Francisco, CA",Millennials vs. Gen X,Sole Survivor,5,2,7,39,6,Adam Klein,
Ciera Eastin,27,"Salem, OR",Game Changers,20th,0,N/A,0,3,9,Ciera Eastin,
Tony Vlachos,42,"Jersey City, NJ",Game Changers,19th,0,N/A,0,6,7,Tony Vlachos,
Caleb Reynolds,28,"Hopkinsville, KY",Game Changers,18th,0,N/A,0,9,5,Caleb Reynolds,
Malcolm Freberg,29,"Hermosa Beach, CA",Game Changers,17th,2,N/A,2,11,5,Malcolm Freberg,
J.T. Thomas,31,"Mobile, AL",Game Changers,16th,6,N/A,6,13,3,J.T. Thomas,
Sandra Diaz-Twine,41,"Fayetteville, NC",Game Changers,15th,3,N/A,3,16,5,Sandra Diaz-Twine,
Jeff Varner,50,"High Point, NC",Game Changers,14th,4,N/A,4,18,6,Jeff Varner,
Hali Ford,26,"Knoxville, TN",Game Changers,13th,4,0,4,21,8,Hali Ford,
Ozzy Lusth,34,"Venice, CA",Game Changers,12th,8,1,9,24,7,Ozzy Lusth,
Debbie Wanner,51,"Reading, PA",Game Changers,11th,6,2,8,26,6,Debbie Wanner,
Zeke Smith,28,"Brooklyn, NY",Game Changers,10th,8,2,10,29,11,Zeke Smith,
Sierra Dawn Thomas,29,"Roy, UT",Game Changers,9th,7,1,8,32,15,Sierra Dawn Thomas,
Andrea Boehlke,27,"New York City, NY",Game Changers,8th,8,6,14,33,14,Andrea Boehlke,
Michaela Bradshaw,25,"Fort Worth, TX",Game Changers,7th,5,0,5,35,11,Michaela Bradshaw,
Cirie Fields,45,"Norwalk, CT",Game Changers,6th,9,0,9,36,0,Cirie Fields,
Aubry Bracco,30,"Cambridge, MA",Game Changers,5th,5,4,9,37,9,Aubry Bracco,
Tai Trang,52,"San Francisco, CA",Game Changers,4th,6,2,8,38,12,Tai Trang,
Troyzan Robertson,54,"Miami, FL",Game Changers,2nd Runner-Up,6,2,8,39,2,Troyzan Robertson,
Brad Culpepper,47,"Tampa, FL",Game Changers,Runner-Up,7,8,15,39,2,Brad Culpepper,
Sarah Lacina,32,"Marion, IA",Game Changers,Sole Survivor,8,1,9,39,3,Sarah Lacina,
Katrina Radke,46,"Excelsior, MN",Heroes vs. Healers vs. Hustlers,18th,1,N/A,1,3,5,Katrina Radke,
Simone Nguyen,25,"New York City, NY",Heroes vs. Healers vs. Hustlers,17th,1,N/A,1,6,5,Simone Nguyen,
Patrick Bolton,24,"Auburn, AL",Heroes vs. Healers vs. Hustlers,16th,1,N/A,1,8,5,Patrick Bolton,
Alan Ball,32,"Houston, TX",Heroes vs. Healers vs. Hustlers,15th,3,N/A,3,11,2,Alan Ball,
Roark Luskin,27,"Santa Monica, CA",Heroes vs. Healers vs. Hustlers,14th,5,N/A,5,14,3,Roark Luskin,
Ali Elliott,24,"Los Angeles, CA",Heroes vs. Healers vs. Hustlers,13th,3,N/A,3,16,3,Ali Elliott,
Jessica Johnston,29,"Louisville, KY",Heroes vs. Healers vs. Hustlers,12th,10,0,10,19,7,Jessica Johnston,
Desi Williams,27,"Newport News, VA",Heroes vs. Healers vs. Hustlers,11th,7,1,8,21,11,Desi Williams,
Cole Medders,24,"Little Rock, AR",Heroes vs. Healers vs. Hustlers,10th,10,3,13,24,7,Cole Medders,
JP Hilsabeck,28,"Los Angeles, CA",Heroes vs. Healers vs. Hustlers,9th,5,2,7,27,6,JP Hilsabeck,
Joe Mena,34,"Tolland, CT",Heroes vs. Healers vs. Hustlers,8th,7,2,9,30,12,Joe Mena,
Lauren Rimmer,35,"Beauford, NC",Heroes vs. Healers vs. Hustlers,7th,7,2,9,33,3,Lauren Rimmer,
Ashley Nolan,26,"Satellite Beach, FL",Heroes vs. Healers vs. Hustlers,6th,6,3,9,36,8,Ashley Nolan,
Mike Zahalsky,43,"Parkland, FL",Heroes vs. Healers vs. Hustlers,5th,10,1,11,37,9,Mike Zahalsky,
Devon Pinto,23,"Solana Beach, CA",Heroes vs. Healers vs. Hustlers,4th,4,3,7,38,2,Devon Pinto,
Ryan Ulrich,23,"North Arlington, NJ",Heroes vs. Healers vs. Hustlers,2nd Runner-Up,3,1,4,39,2,Ryan Ulrich,
Chrissy Hofbeck,46,"Lebanon Township, NJ",Heroes vs. Healers vs. Hustlers,Runner-Up,5,8,13,39,7,Chrissy Hofbeck,
Ben Driebergen,34,"Boise, ID",Heroes vs. Healers vs. Hustlers,Sole Survivor,9,1,10,39,11,Ben Driebergen,
Stephanie Gonzalez,26,"Ocala, FL",Ghost Island,20th,1,N/A,1,3,8,Stephanie Gonzalez,
Jacob Derwin,22,"Brooklyn, NY",Ghost Island,19th,1,N/A,1,6,5,Jacob Derwin,
Morgan Ricke,29,"Orlando, FL",Ghost Island,18th,2,N/A,2,9,4,Morgan Ricke,
Brendan Shapiro,41,"Herndon, VA",Ghost Island,17th,2,N/A,2,12,5,Brendan Shapiro,
Stephanie Johnson,34,"Chicago, IL",Ghost Island,16th,2,N/A,2,14,7,Stephanie Johnson,
James Lim,24,"New York City, NY",Ghost Island,15th,5,N/A,5,17,6,James Lim,
Bradley Kleihege,26,"Los Angeles, CA",Ghost Island,14th,5,N/A,5,19,8,Bradley Kleihege,
Chris Noble,27,"Brooklyn, NY",Ghost Island,13th,9,0,9,22,10,Chris Noble,
Libby Vincek,24,"Houston, TX",Ghost Island,12th,7,1,8,25,8,Libby Vincek,
Desiree Afuye,21,"Brooklyn, NY",Ghost Island,11th,4,0,4,27,10,Desiree Afuye,
Jenna Bowman,23,"Venice Beach, CA",Ghost Island,10th,5,1,6,29,3,Jenna Bowman,
Michael Yerger,18,"Los Angeles, CA",Ghost Island,9th,3,1,4,29,15,Michael Yerger,
Chelsea Townsend,25,"Los Angeles, CA",Ghost Island,8th,5,4,9,32,5,Chelsea Townsend,
Kellyn Bechtold,31,"Denver, CO",Ghost Island,7th,4,2,6,35,8,Kellyn Bechtold,
Sebastian Noel,22,"Satellite Beach, FL",Ghost Island,6th,6,2,8,36,5,Sebastian Noel,
Donathan Hurley,26,"Kimper, KY",Ghost Island,5th,7,1,8,37,11,Donathan Hurley,
Angela Perkins,42,"Cincinnati, OH",Ghost Island,4th,7,2,9,38,3,Angela Perkins,
Laurel Johnson,29,"Minneapolis, MN",Ghost Island,2nd Runner-Up,8,2,10,39,3,Laurel Johnson,
Domenick Abbate,38,"Nesconset, NY",Ghost Island,Runner-Up,8,4,12,39,2,Domenick Abbate,
Wendell Holland,33,"Philadelphia, PA",Ghost Island,Sole Survivor,9,4,13,39,5,Wendell Holland,